,CPI
2044-02-01,505.59802
2044-03-01,507.85347
2044-04-01,509.23572
2044-05-01,510.94251
2044-06-01,512.5059
2044-07-01,513.41853
2044-08-01,514.0252
2044-09-01,514.4474
2044-10-01,514.80693
2044-11-01,513.90295
2044-12-01,513.15907
2045-01-01,515.41706
2045-02-01,517.27732
2045-03-01,519.55307
2045-04-01,520.93528
2045-05-01,522.64928
2045-06-01,524.2164
2045-07-01,525.11774
2045-08-01,525.70605
2045-09-01,526.10564
2045-10-01,526.47332
2045-11-01,525.54885
2045-12-01,524.78811
2046-01-01,527.09728
2046-02-01,528.9997
2046-03-01,531.32701
2046-04-01,532.74055
2046-05-01,534.49339
2046-06-01,536.09602
2046-07-01,537.01779
2046-08-01,537.61944
2046-09-01,538.02808
2046-10-01,538.40409
2046-11-01,537.45867
2046-12-01,536.68069
2047-01-01,539.04219
2047-02-01,540.98772
2047-03-01,543.36778
2047-04-01,544.81334
2047-05-01,546.60591
2047-06-01,548.24486
2047-07-01,549.18752
2047-08-01,549.8028
2047-09-01,550.2207
2047-10-01,550.60523
2047-11-01,549.63839
2047-12-01,548.84278
2048-01-01,551.25779
2048-02-01,553.24741
2048-03-01,555.68141
2048-04-01,557.15973
2048-05-01,558.99292
2048-06-01,560.66901
2048-07-01,561.63303
2048-08-01,562.26225
2048-09-01,562.68963
2048-10-01,563.08287
2048-11-01,562.09412
2048-12-01,561.28048
2049-01-01,563.75022
2049-02-01,565.78493
2049-03-01,568.27408
2049-04-01,569.78591
2049-05-01,571.66064
2049-06-01,573.37472
2049-07-01,574.36058
2049-08-01,575.00406
2049-09-01,575.44113
2049-10-01,575.93395
2049-11-01,575.01316
2049-12-01,574.27123
2050-01-01,576.88895
2050-02-01,579.06225
2050-03-01,581.70139
2050-04-01,583.34077
2050-05-01,585.35226
2050-06-01,587.19983
2050-07-01,588.30208
2050-08-01,589.05392
2050-09-01,589.59449
2050-10-01,590.09943
2050-11-01,589.15599
2050-12-01,588.39582
2051-01-01,591.07792
2051-02-01,593.30467
2051-03-01,596.00872
2051-04-01,597.68843
2051-05-01,599.74939
2051-06-01,601.6424
2051-07-01,602.77177
2051-08-01,603.5421
2051-09-01,604.09596
2051-10-01,604.61332
2051-11-01,603.64668
2051-12-01,602.8678
2052-01-01,605.61587
2052-02-01,607.89739
2052-03-01,610.66795
2052-04-01,612.38897
2052-05-01,614.50062
2052-06-01,616.4402
2052-07-01,617.59734
2052-08-01,618.38662
2052-09-01,618.9541
2052-10-01,619.48419
2052-11-01,618.49377
2052-12-01,617.69574
2053-01-01,620.5114
2053-02-01,622.84903
2053-03-01,625.68774
2053-04-01,627.45108
2053-05-01,629.61467
2053-06-01,631.60195
2053-07-01,632.78755
2053-08-01,633.59625
2053-09-01,634.17768
2053-10-01,634.72081
2053-11-01,633.70603
2053-12-01,632.88837
2054-01-01,635.77329
2054-02-01,638.16842
2054-03-01,641.07694
2054-04-01,642.88366
2054-05-01,645.10046
2054-06-01,647.13662
2054-07-01,648.35138
2054-08-01,649.17997
2054-09-01,649.77571
